state_per_fv,total_workers_w,total_workers_unw,total_div0_w,total_div1_w,total_div23_w,total_div4_w,total_div5_w,total_div6_w,total_div7_w,total_div8_w,total_div9_w,total_div0_unw,total_div1_unw,total_div23_unw,total_div4_unw,total_div5_unw,total_div6_unw,total_div7_unw,total_div8_unw,total_div9_unw,share_div0_weighted,share_div0_unweighted,share_div1_weighted,share_div1_unweighted,share_div23_weighted,share_div23_unweighted,share_div4_weighted,share_div4_unweighted,share_div5_weighted,share_div5_unweighted,share_div6_weighted,share_div6_unweighted,share_div7_weighted,share_div7_unweighted,share_div8_weighted,share_div8_unweighted,share_div9_weighted,share_div9_unweighted,state_name
01,14487867.38862991,5331,8261412.39540863,22698.64525604248,1121950.228042603,254176.5156097412,2747380.580013275,1596125.251712799,864588.7210540771,323362.7215270996,2207476.850826263,2368,10,550,91,923,772,375,159,885,.57022971,.44419435,.0015667347,.0018758207,.077440672,.10317013,.017544094,.017069967,.18963319,.17313825,.11016978,.14481336,.05967674,.070343278,.022319553,.02982555,.15236728,.16601013,JAMMU & KASHMIR
0134,345197.0829391479,211,158253.7367858887,0,16083.06008911133,2008.1650390625,23964.60460662842,35277.27537536621,29646.0899810791,16372.00022888184,85003.3157043457,74,0,21,2,16,29,22,12,47,.4584446,.3507109,0,0,.04659095,.09952607,.005817445,.0094786733,.06942296,.075829387,.10219459,.13744076,.085881636,.1042654,.047427978,.056872036,.24624576,.22274882,LADAKH & JAMMU KASHMIR COMBINED
02,11961761.14736176,3365,7651872.461158752,2877.39501953125,794869.5207366943,146728.2452545166,2707936.941169739,781249.9895553589,567737.0915298462,327676.3074035645,1151989.14125061,2086,1,256,41,830,230,154,91,297,.63969445,.61991084,.00024054945,.00029717683,.066450879,.076077268,.012266441,.012184249,.22638279,.24665676,.065312289,.068350665,.047462668,.045765229,.02739365,.027043091,.096305981,.088261515,HIMACHAL PRADESH
03,29698092.47696686,4400,7545737.172912598,35289.96899414063,5714977.456985474,236540.8604736328,4048835.891281128,5048920.802215576,1637025.598327637,1097028.892456055,4484286.243232727,920,2,900,45,588,816,298,162,692,.25408155,.2090909,.0011882908,.00045454546,.19243585,.20454545,.0079648504,.010227272,.1363332,.13363637,.17000826,.18545455,.055122249,.067727275,.036939371,.03681818,.15099576,.15727273,PUNJAB
04,1196489.284042358,484,5565.044883728027,0,184436.2376022339,35004.03448486328,63190.77534866333,278299.2360572815,88793.80555725098,115880.680770874,433770.8494644165,8,0,77,11,33,123,40,41,155,.0046511446,.016528925,0,0,.15414783,.15909091,.029255619,.022727273,.052813489,.06818182,.23259652,.25413224,.074211955,.082644626,.096850581,.084710747,.36253634,.32024795,CHANDIGARH
05,10372999.00273895,2099,4487323.98128891,11639.76519775391,1003960.879085541,65644.68041992188,1072491.768173218,1445230.269302368,611775.9134674072,453249.4369659424,1414064.168334961,748,4,260,11,214,360,136,100,299,.43259659,.35636017,.0011221215,.0019056693,.096785977,.12386851,.0063284189,.0052405908,.10339264,.10195331,.13932617,.17151025,.058977727,.06479276,.043695118,.047641736,.13632163,.14244878,UTTRAKHAND
06,30420323.91837311,3641,8414905.815330505,52295.96960449219,5989604.190795898,385243.0377807617,4130463.672180176,3842025.462844849,2969650.430755615,1591333.830383301,3516896.929473877,860,10,769,65,498,534,321,182,459,.27662116,.23619884,.0017191129,.0027464982,.19689482,.21120571,.012664001,.017852239,.13577974,.13677561,.12629798,.14666301,.097620606,.088162594,.052311536,.049986269,.11561011,.12606427,HARYANA
07,19113700.00031662,1283,233590.7875976563,46680.416015625,4494491.731925964,264711.1102905273,1409657.187259674,4849834.785900116,2440027.845092773,1893496.344909668,3540614.075748444,11,3,316,26,81,346,148,133,226,.012221118,.008573655,.0024422491,.0023382697,.23514503,.24629775,.013849286,.020265004,.073751144,.063133284,.25373605,.26968044,.12765858,.11535463,.099064879,.10366329,.1852396,.17614965,DELHI
08,83018623.41583252,6767,45139225.57546997,1489258.479431152,7793759.773605347,824932.0188598633,15240111.27742004,7996892.150970459,3277091.822921753,2386465.046203613,7326036.51020813,2959,79,859,77,1037,919,318,251,766,.54372412,.43726909,.017938849,.011674302,.093879655,.12693956,.0099367108,.01137875,.1835746,.15324368,.096326485,.13580611,.039474178,.04699276,.028746141,.037091769,.088245697,.1131964,RAJASTHAN
09,197000791.7989044,12726,99171289.68353271,153476.3963623047,23059049.74617004,853830.122253418,28676515.94120789,25874028.76013184,8445089.215408325,4112745.394760132,14408236.25558472,5451,13,1676,78,1681,2002,588,358,1293,.50340551,.4283357,.0007790649,.0010215307,.11705054,.13169889,.0043341457,.0061291843,.14556548,.13209178,.13133971,.15731573,.042868301,.046204619,.020876797,.028131384,.073137961,.10160302,UTTAR PRADESH
10,87687815.64344788,5124,38939282.34791565,62051.0146484375,8029324.282928467,78955.35949707031,14545499.04820251,12117509.58105469,3774349.567443848,2789068.859268188,7659862.098907471,1853,11,506,11,736,920,288,194,624,.44406721,.36163154,.00070763554,.0021467602,.091567159,.098750979,.00090041425,.0021467602,.16587822,.14363778,.13818921,.17954724,.043043032,.056206089,.031806801,.037861045,.087353781,.12177986,BIHAR
11,940975.65883255,1238,407466.7248878479,2117.27001953125,65492.99028778076,15290.56999206543,70672.56482696533,150359.5495147705,47753.94989776611,27076.40494918823,184905.1043357849,432,2,98,22,94,216,76,47,278,.43302578,.34894991,.0022500795,.0016155089,.069601156,.079159938,.016249698,.017770598,.075105622,.075928919,.15979111,.17447495,.050749399,.061389338,.02877482,.03796446,.19650359,.22455573,SIKKIM
12,1369303.326070786,2168,688884.6111431122,0,21092.95988464355,12272.50486755371,54448.95534896851,229311.3100662231,88627.22983551025,12356.28493881226,272739.0400543213,903,0,39,29,119,387,163,30,512,.50309134,.41651291,0,0,.015404155,.01798893,.0089625902,.013376384,.039763983,.054889299,.16746567,.17850554,.064724319,.075184502,.0090237744,.013837638,.19918089,.23616236,ARUNACHAL PRADESH
